product_id,product_name,product_category,cost_price,list_price,supplier,launch_date
P0061,Individual Laptop,Laptops,669.54,881.27,TechCorp,2024-06-20
P0062,Low Laptop,Laptops,930.05,1338.79,TechCorp,2020-03-19
P0063,Evidence Smartphone,Smartphones,511.36,606.22,Quantum Supplies,2020-03-09
P0064,Employee Accessorie,Accessories,206.41,227.23,TechCorp,2023-10-11
P0065,Nothing Accessorie,Accessories,930.19,1315.34,Digitex,2021-03-27
P0066,Skin Tablet,Tablets,711.76,990.91,Quantum Supplies,2023-12-22
P0067,Later Monitor,Monitors,732.49,851.09,FutureTek,2023-12-18
P0068,Inside Tablet,Tablets,970.27,1292.08,Nova Electronics,2022-01-29
P0069,Discuss Monitor,Monitors,760.58,854.03,TechCorp,2020-03-05
P0070,Mr Monitor,Monitors,527.71,760.48,Quantum Supplies,2023-03-14
P0071,Benefit Smartphone,Smartphones,962.74,1089.86,TechCorp,2019-05-27
P0072,Traditional Smartphone,Smartphones,615.28,842.99,TechCorp,2019-12-07
P0073,Claim Smartphone,Smartphones,163.89,238.64,Quantum Supplies,2024-05-03
P0074,Collection Smartphone,Smartphones,614.79,828.58,ByteWare,2022-08-04
P0075,Pick Accessorie,Accessories,604.49,791.35,FutureTek,2019-07-17
P0076,Image Tablet,Tablets,686.24,841.11,Nova Electronics,2022-03-31
P0077,Pick Tablet,Tablets,174.33,236.78,Quantum Supplies,2022-12-25
P0078,Newspaper Accessorie,Accessories,932.57,1374.88,Digitex,2021-02-20
P0079,On Laptop,Laptops,640.1,848.26,Quantum Supplies,2019-02-05
P0080,Response Laptop,Laptops,560.75,730.29,TechCorp,2019-12-22
P0081,Rest Smartphone,Smartphones,886.82,1287.4,Digitex,2023-07-27
P0082,Social Tablet,Tablets,199.86,286.5,Digitex,2021-04-08
P0083,Specific Networkin,Networking,631.09,943.41,Digitex,2024-06-14
P0084,Grow Networkin,Networking,57.43,81.94,ByteWare,2019-12-13
P0085,Finally Tablet,Tablets,148.41,215.38,FutureTek,2022-09-12
P0086,Coach Tablet,Tablets,895.23,1250.61,TechCorp,2022-11-10
P0087,About Smartphone,Smartphones,317.67,376.2,Digitex,2021-03-29
P0088,Month Tablet,Tablets,703.12,1013.31,Nova Electronics,2020-07-09
P0089,Movement Monitor,Monitors,288.57,422.25,Quantum Supplies,2019-11-27
P0090,Truth Laptop,Laptops,652.57,934.31,TechCorp,2024-04-26
P0091,Fire Laptop,Laptops,366.88,422.77,TechCorp,2024-06-08
P0092,Movement Tablet,Tablets,754.17,996.01,Nova Electronics,2024-03-07
P0093,Decide Accessorie,Accessories,59.19,66.89,ByteWare,2020-04-19
P0094,Hour Networkin,Networking,568.31,814.86,Nova Electronics,2020-05-16
P0095,Notice Monitor,Monitors,190.69,219.48,ByteWare,2023-07-06
P0096,Why Tablet,Tablets,904.03,1282.32,Digitex,2019-01-02
P0097,Place Laptop,Laptops,249.57,299.44,Digitex,2021-10-04
P0098,Middle Laptop,Laptops,791.11,1150.0,Digitex,2019-03-02
P0099,Brother Accessorie,Accessories,762.0,1120.37,ByteWare,2022-02-01
P0100,Unit Smartphone,Smartphones,977.4,1392.12,Nova Electronics,2021-08-13
P0101,Education Accessorie,Accessories,220.39,323.93,TechCorp,2019-06-29
P0102,Effect Accessorie,Accessories,870.86,1240.37,FutureTek,2023-10-29
P0103,Your Tablet,Tablets,798.01,912.32,Nova Electronics,2019-09-02
P0104,Bed Laptop,Laptops,261.31,372.79,Quantum Supplies,2023-02-18
P0105,Team Accessorie,Accessories,339.93,482.07,Digitex,2019-08-04
P0106,Soon Smartphone,Smartphones,72.48,85.33,Nova Electronics,2023-07-14
P0107,Space Tablet,Tablets,871.14,1295.17,Digitex,2020-01-26
P0108,Career Tablet,Tablets,659.41,830.77,Digitex,2023-01-16
P0109,Your Monitor,Monitors,942.28,1079.98,Digitex,2023-09-05
P0110,Company Tablet,Tablets,601.56,898.38,Nova Electronics,2021-04-03
P0111,News Laptop,Laptops,616.74,763.69,TechCorp,2024-02-28
P0112,Land Tablet,Tablets,625.9,816.53,Quantum Supplies,2020-10-20
P0113,Woman Accessorie,Accessories,230.57,257.72,ByteWare,2023-08-03
P0114,Someone Accessorie,Accessories,543.92,773.78,TechCorp,2020-09-16
P0115,Sell Networkin,Networking,943.25,1315.66,FutureTek,2021-08-26
P0116,Inside Smartphone,Smartphones,459.73,680.19,Digitex,2022-03-06
P0117,Left Tablet,Tablets,348.22,501.16,ByteWare,2023-05-28
P0118,Live Networkin,Networking,531.77,726.8,Digitex,2020-01-11
P0119,End Tablet,Tablets,712.35,941.56,Quantum Supplies,2020-11-29
P0120,Attack Smartphone,Smartphones,681.68,853.23,Quantum Supplies,2021-11-16
P0121,Against Networkin,Networking,634.74,774.62,Nova Electronics,2024-01-02
P0122,Once Monitor,Monitors,338.68,401.02,TechCorp,2020-12-15
P0123,Per Monitor,Monitors,671.97,864.15,ByteWare,2020-11-15
P0124,Account Accessorie,Accessories,253.02,326.21,FutureTek,2019-08-09
P0125,Second Networkin,Networking,675.91,820.23,Nova Electronics,2024-05-14
P0126,Artist Networkin,Networking,638.3,725.97,FutureTek,2020-12-12
P0127,Author Smartphone,Smartphones,344.9,490.66,FutureTek,2019-04-08
P0128,Trade Smartphone,Smartphones,93.9,140.25,TechCorp,2021-10-23
P0129,Avoid Monitor,Monitors,482.65,701.99,TechCorp,2023-05-17
P0130,Economy Monitor,Monitors,732.43,918.17,Nova Electronics,2021-05-15
P0131,Relationship Accessorie,Accessories,190.19,261.52,Nova Electronics,2023-02-17
P0132,Difficult Laptop,Laptops,257.9,366.64,Quantum Supplies,2023-08-03
P0133,Cause Networkin,Networking,491.32,650.0,ByteWare,2023-11-10
P0134,Part Laptop,Laptops,176.67,227.17,Quantum Supplies,2023-01-08
P0135,Eight Monitor,Monitors,615.68,911.22,ByteWare,2023-01-09
P0136,Surface Accessorie,Accessories,824.26,1200.79,ByteWare,2022-06-18
P0137,Customer Accessorie,Accessories,473.62,551.13,ByteWare,2019-10-21
P0138,Bill Accessorie,Accessories,296.23,355.15,Quantum Supplies,2022-09-01
P0139,Health Networkin,Networking,777.52,1017.4,Digitex,2022-08-09
P0140,Item Networkin,Networking,310.87,351.59,Nova Electronics,2022-12-21
P0141,Treat Tablet,Tablets,308.13,378.35,Nova Electronics,2019-06-18
P0142,Report Monitor,Monitors,181.46,216.39,TechCorp,2019-11-02
P0143,Ask Networkin,Networking,721.1,811.74,Nova Electronics,2022-06-04
P0144,Should Accessorie,Accessories,565.48,716.07,Digitex,2021-11-20
P0145,Such Smartphone,Smartphones,420.0,591.33,Quantum Supplies,2019-12-06
P0146,Energy Networkin,Networking,863.9,1214.85,TechCorp,2020-08-18
P0147,Customer Accessorie,Accessories,55.6,68.98,Quantum Supplies,2023-07-25
P0148,List Accessorie,Accessories,561.31,782.38,Quantum Supplies,2020-03-11
P0149,Knowledge Monitor,Monitors,513.82,621.3,Nova Electronics,2020-07-24
P0150,Family Accessorie,Accessories,419.41,573.56,TechCorp,2022-12-08
P0151,Enjoy Accessorie,Accessories,206.79,266.13,FutureTek,2019-08-23
P0152,Level Smartphone,Smartphones,557.42,815.38,ByteWare,2023-09-06
P0153,Billion Monitor,Monitors,679.85,770.66,ByteWare,2019-06-07
P0154,Reach Accessorie,Accessories,873.51,1024.36,Nova Electronics,2023-08-07
P0155,Think Tablet,Tablets,360.99,462.75,Quantum Supplies,2019-02-15
P0156,Better Tablet,Tablets,314.34,465.37,Quantum Supplies,2021-01-04
P0157,Compare Accessorie,Accessories,843.17,1086.11,Digitex,2022-06-16
P0158,Mention Networkin,Networking,99.48,147.31,ByteWare,2023-02-04
P0159,Different Smartphone,Smartphones,115.19,170.82,FutureTek,2022-05-30
P0160,Weight Laptop,Laptops,952.13,1123.27,TechCorp,2019-07-02
P0161,Community Laptop,Laptops,194.76,224.07,ByteWare,2022-03-23
P0162,Able Networkin,Networking,585.77,695.42,TechCorp,2022-04-27
P0163,Evidence Networkin,Networking,778.55,908.66,Digitex,2022-11-14
P0164,Feeling Monitor,Monitors,732.44,1033.56,FutureTek,2022-08-07
P0165,Same Smartphone,Smartphones,152.69,169.53,Digitex,2023-09-23
P0166,Recently Tablet,Tablets,693.48,1028.62,ByteWare,2023-02-21
P0167,Clear Accessorie,Accessories,238.41,318.72,FutureTek,2020-08-12
P0168,Fine Networkin,Networking,146.81,206.85,Nova Electronics,2020-11-07
P0169,Article Networkin,Networking,815.25,1156.42,ByteWare,2023-12-05
P0170,Simply Monitor,Monitors,379.84,482.91,TechCorp,2023-08-12
P0171,Ask Tablet,Tablets,530.66,656.16,TechCorp,2021-09-01
P0172,Art Accessorie,Accessories,150.26,223.03,Quantum Supplies,2019-06-05
P0173,Pattern Networkin,Networking,721.94,919.89,Quantum Supplies,2023-01-21
P0174,Morning Networkin,Networking,967.2,1168.41,ByteWare,2023-07-09
P0175,Coach Monitor,Monitors,491.63,703.18,Quantum Supplies,2019-06-26
P0176,Movie Monitor,Monitors,356.19,426.79,Digitex,2019-09-06
P0177,Today Laptop,Laptops,887.55,1062.88,Digitex,2020-07-31
P0178,Authority Accessorie,Accessories,629.82,788.28,ByteWare,2024-01-23
P0179,Author Laptop,Laptops,858.41,1006.69,Quantum Supplies,2020-12-31
P0180,International Smartphone,Smartphones,807.94,998.72,Digitex,2020-01-08
P0181,Year Monitor,Monitors,886.1,1171.7,FutureTek,2023-11-05
P0182,Employee Monitor,Monitors,131.33,182.29,Nova Electronics,2023-12-04
P0183,Phone Accessorie,Accessories,770.26,1060.07,ByteWare,2019-05-04
P0184,President Networkin,Networking,516.28,731.66,FutureTek,2019-09-12
P0185,Kind Laptop,Laptops,260.52,358.66,Digitex,2023-12-19
P0186,Other Tablet,Tablets,602.48,776.78,FutureTek,2023-06-13
P0187,Four Monitor,Monitors,454.23,635.18,Digitex,2021-03-21
P0188,Democratic Tablet,Tablets,717.71,867.26,Digitex,2021-09-03
P0189,Edge Tablet,Tablets,164.62,193.76,Nova Electronics,2021-04-05
P0190,Individual Laptop,Laptops,559.07,785.42,FutureTek,2020-02-11
P0191,Remain Smartphone,Smartphones,255.57,330.63,Nova Electronics,2024-06-28
P0192,First Networkin,Networking,977.78,1280.75,ByteWare,2022-11-21
P0193,Four Tablet,Tablets,841.0,1024.76,TechCorp,2019-08-14
P0194,Act Tablet,Tablets,337.15,466.35,Nova Electronics,2022-11-24
P0195,Pretty Smartphone,Smartphones,93.24,104.6,Digitex,2023-10-16
P0196,Black Tablet,Tablets,946.89,1283.18,FutureTek,2019-08-16
P0197,Note Accessorie,Accessories,879.08,1168.85,TechCorp,2020-10-24
P0198,Move Accessorie,Accessories,468.45,549.84,Quantum Supplies,2021-04-03
P0199,Cause Laptop,Laptops,944.01,1218.8,Digitex,2021-12-20
P0200,Upon Laptop,Laptops,517.16,688.24,Quantum Supplies,2019-08-02
P0201,Until Networkin,Networking,194.14,276.54,TechCorp,2021-01-28
P0202,Hope Tablet,Tablets,994.22,1140.75,TechCorp,2021-06-04
P0203,Coach Accessorie,Accessories,616.32,830.41,ByteWare,2022-09-23
P0204,These Monitor,Monitors,477.99,610.44,Quantum Supplies,2023-08-15
P0205,Score Monitor,Monitors,340.11,458.61,Quantum Supplies,2021-07-28
P0206,Population Monitor,Monitors,144.27,202.71,FutureTek,2023-07-02
P0207,Across Networkin,Networking,301.41,341.34,Nova Electronics,2023-09-20
P0208,Firm Smartphone,Smartphones,574.39,667.79,Nova Electronics,2019-11-18
P0209,Wrong Accessorie,Accessories,704.9,907.89,Quantum Supplies,2020-02-22
P0210,Everything Laptop,Laptops,323.7,392.68,Nova Electronics,2019-12-25
P0211,Voice Accessorie,Accessories,703.02,1033.13,TechCorp,2019-11-29
P0212,Situation Networkin,Networking,678.12,999.19,ByteWare,2023-09-15
P0213,Clearly Accessorie,Accessories,567.33,771.03,TechCorp,2021-04-26
P0214,Father Tablet,Tablets,117.84,137.44,Nova Electronics,2024-02-23
P0215,Develop Tablet,Tablets,761.51,1011.04,ByteWare,2021-12-01
P0216,Democrat Tablet,Tablets,168.14,231.27,Quantum Supplies,2024-05-24
P0217,Tonight Networkin,Networking,945.54,1229.38,Quantum Supplies,2021-03-31
P0218,Mouth Accessorie,Accessories,126.42,141.08,Quantum Supplies,2023-02-26
P0219,Enter Accessorie,Accessories,356.21,427.5,FutureTek,2019-06-07
P0220,Best Laptop,Laptops,963.82,1382.49,Nova Electronics,2024-05-24
P0221,Land Monitor,Monitors,953.25,1429.71,ByteWare,2021-05-09
P0222,Another Networkin,Networking,597.43,839.53,Digitex,2019-01-12
P0223,Goal Smartphone,Smartphones,543.02,693.38,Quantum Supplies,2020-02-11
P0224,Public Tablet,Tablets,997.1,1270.66,Nova Electronics,2021-03-24
P0225,Color Accessorie,Accessories,496.51,627.26,TechCorp,2022-10-04
P0226,Ok Tablet,Tablets,149.37,173.92,FutureTek,2022-08-21
P0227,Option Accessorie,Accessories,520.7,710.77,FutureTek,2019-01-31
P0228,Brother Accessorie,Accessories,84.86,96.34,ByteWare,2019-08-22
P0229,You Tablet,Tablets,160.13,225.63,Digitex,2020-04-08
P0230,Offer Monitor,Monitors,674.78,888.71,TechCorp,2019-04-22
P0231,They Accessorie,Accessories,228.2,284.04,TechCorp,2022-02-21
P0232,Pass Accessorie,Accessories,469.94,526.64,FutureTek,2023-09-13
P0233,Choose Tablet,Tablets,174.46,212.01,ByteWare,2022-08-28
P0234,Care Networkin,Networking,165.35,246.25,Quantum Supplies,2019-05-10
P0235,Foot Monitor,Monitors,724.29,886.75,Nova Electronics,2022-02-06
P0236,Way Laptop,Laptops,437.59,520.68,ByteWare,2019-05-04
P0237,Way Laptop,Laptops,949.71,1290.74,Quantum Supplies,2022-01-16
P0238,Develop Smartphone,Smartphones,936.02,1138.9,Quantum Supplies,2021-02-14
P0239,Reflect Networkin,Networking,444.72,575.02,Digitex,2019-11-16
P0240,Health Accessorie,Accessories,483.95,560.34,Nova Electronics,2023-10-06
P0241,Usually Smartphone,Smartphones,532.83,773.53,ByteWare,2022-06-16
P0242,Pressure Laptop,Laptops,784.04,1130.4,Digitex,2020-04-25
P0243,Wish Tablet,Tablets,303.81,334.5,ByteWare,2021-01-05
P0244,Treatment Networkin,Networking,845.6,1126.31,Digitex,2020-05-19
P0245,Such Networkin,Networking,872.0,1114.96,Quantum Supplies,2020-07-04
P0246,Upon Accessorie,Accessories,365.82,514.03,Digitex,2022-07-04
P0247,Ago Accessorie,Accessories,936.21,1355.48,Quantum Supplies,2020-07-11
P0248,Since Networkin,Networking,593.21,707.95,Nova Electronics,2021-10-29
P0249,Stay Accessorie,Accessories,352.27,454.14,TechCorp,2022-07-03
P0250,Suffer Accessorie,Accessories,988.99,1401.36,Quantum Supplies,2021-02-10
P0251,Example Networkin,Networking,520.56,580.32,Nova Electronics,2020-05-09
P0252,Store Monitor,Monitors,365.39,416.6,ByteWare,2019-12-02
P0253,Idea Accessorie,Accessories,549.65,705.08,TechCorp,2019-05-01
P0254,Town Networkin,Networking,439.48,598.53,Nova Electronics,2023-01-02
P0255,Doctor Smartphone,Smartphones,496.02,737.92,TechCorp,2020-09-12
P0256,Technology Tablet,Tablets,708.07,962.93,ByteWare,2022-12-01
P0257,Hard Tablet,Tablets,866.38,1084.71,FutureTek,2021-08-06
P0258,Tend Tablet,Tablets,732.78,1028.65,FutureTek,2020-12-08
P0259,Dog Monitor,Monitors,636.59,760.03,TechCorp,2019-03-15
P0260,Receive Networkin,Networking,997.55,1395.28,Digitex,2020-08-23
P0261,Inside Accessorie,Accessories,772.35,1067.05,TechCorp,2021-10-16
P0262,Family Laptop,Laptops,208.05,253.78,Quantum Supplies,2019-08-04
P0263,Spring Laptop,Laptops,358.16,402.02,TechCorp,2021-05-17
P0264,Have Tablet,Tablets,459.15,549.91,Digitex,2024-06-16
P0265,Mr Accessorie,Accessories,697.71,817.73,ByteWare,2022-05-26
P0266,Respond Smartphone,Smartphones,629.02,788.17,TechCorp,2023-07-24
P0267,Glass Networkin,Networking,522.78,697.0,Nova Electronics,2019-03-27
P0268,Business Smartphone,Smartphones,656.01,842.2,Quantum Supplies,2021-03-22
P0269,Could Networkin,Networking,903.96,1162.58,TechCorp,2023-12-09
P0270,Evidence Tablet,Tablets,569.27,643.02,FutureTek,2019-04-29
P0271,Boy Tablet,Tablets,334.2,496.22,ByteWare,2024-01-28
P0272,Leader Networkin,Networking,483.99,590.88,Digitex,2021-12-10
P0273,Shoulder Accessorie,Accessories,151.32,189.54,Quantum Supplies,2021-09-01
P0274,Least Tablet,Tablets,331.08,456.79,ByteWare,2024-02-27
P0275,Much Laptop,Laptops,426.02,470.0,FutureTek,2019-12-26
P0276,Image Networkin,Networking,974.92,1427.52,FutureTek,2023-11-27
P0277,Customer Networkin,Networking,841.2,1229.14,Quantum Supplies,2021-03-02
P0278,Another Smartphone,Smartphones,811.84,964.14,ByteWare,2022-09-16
P0279,Ability Smartphone,Smartphones,288.1,403.98,ByteWare,2023-06-04
P0280,Wish Networkin,Networking,846.42,1143.77,FutureTek,2023-07-31
P0281,Right Networkin,Networking,87.45,123.78,FutureTek,2020-09-04
P0282,Himself Laptop,Laptops,396.62,457.13,ByteWare,2022-09-01
P0283,Available Tablet,Tablets,760.11,889.52,Digitex,2021-10-22
P0284,Price Smartphone,Smartphones,882.64,1100.07,ByteWare,2021-09-02
P0285,Record Monitor,Monitors,838.95,1009.08,Digitex,2020-01-23
P0286,Service Accessorie,Accessories,759.23,938.02,Digitex,2021-07-22
P0287,Movement Laptop,Laptops,964.75,1115.54,Quantum Supplies,2021-08-18
P0288,Reflect Smartphone,Smartphones,738.01,1101.09,FutureTek,2022-06-22
P0289,General Monitor,Monitors,135.79,170.8,Digitex,2022-06-04
P0290,Same Tablet,Tablets,167.41,208.83,ByteWare,2021-07-07
P0291,Once Networkin,Networking,299.05,374.53,FutureTek,2020-01-31
P0292,Dark Networkin,Networking,152.93,182.53,Digitex,2022-07-30
P0293,Red Laptop,Laptops,890.02,1178.89,ByteWare,2022-03-23
P0294,Research Monitor,Monitors,665.27,900.88,Nova Electronics,2020-06-24
P0295,Power Accessorie,Accessories,337.08,425.84,FutureTek,2023-11-04
P0296,Fish Smartphone,Smartphones,948.95,1159.38,TechCorp,2022-06-15
P0297,Official Accessorie,Accessories,142.33,207.08,TechCorp,2019-01-02
P0298,Fly Smartphone,Smartphones,480.96,658.05,Quantum Supplies,2021-06-10
P0299,Develop Networkin,Networking,948.68,1202.59,FutureTek,2022-08-28
P0300,Stock Networkin,Networking,196.8,249.14,FutureTek,2023-12-07
P0301,Policy Laptop,Laptops,634.87,936.83,Quantum Supplies,2021-09-28
P0302,Make Tablet,Tablets,705.77,837.68,TechCorp,2022-10-04
P0303,Letter Accessorie,Accessories,862.68,983.23,Nova Electronics,2020-10-25
P0304,Much Networkin,Networking,567.24,845.83,Digitex,2023-01-10
P0305,Student Tablet,Tablets,428.23,503.57,TechCorp,2020-06-11
P0306,Reason Laptop,Laptops,137.09,162.43,Quantum Supplies,2019-09-21
P0307,Federal Networkin,Networking,972.54,1089.47,ByteWare,2023-05-21
P0308,Record Tablet,Tablets,989.38,1399.77,Nova Electronics,2024-05-20
P0309,President Smartphone,Smartphones,838.33,1108.01,TechCorp,2021-11-07
P0310,Better Monitor,Monitors,822.4,981.29,Nova Electronics,2020-12-30
P0311,Remember Smartphone,Smartphones,52.69,76.05,ByteWare,2021-08-22
P0312,Down Smartphone,Smartphones,563.2,799.41,Nova Electronics,2020-09-10
P0313,Choice Laptop,Laptops,873.13,1006.48,FutureTek,2019-03-17
P0314,Any Tablet,Tablets,609.41,674.2,Nova Electronics,2021-01-30
P0315,May Tablet,Tablets,170.42,216.16,TechCorp,2024-03-14
P0316,To Laptop,Laptops,110.38,141.21,FutureTek,2019-08-15
P0317,Lose Tablet,Tablets,613.98,786.39,ByteWare,2022-07-11
P0318,Various Smartphone,Smartphones,91.2,128.89,ByteWare,2024-05-10
P0319,Parent Networkin,Networking,336.55,456.81,ByteWare,2020-08-27
P0320,Serious Laptop,Laptops,998.66,1436.99,TechCorp,2022-04-07
