customer_id,signup_date,age_group,gender,city,customer_type,loyalty_tier
C0051,2023-07-27,26-35,Male,Belfast,New,Bronze
C0052,2023-03-09,36-45,Male,Newcastle,New,Gold
C0053,2024-05-03,56-65,Male,Nottingham,New,Silver
C0054,2020-04-08,56-65,Female,Glasgow,Returning,Gold
C0055,2021-07-17,18-25,Female,Leeds,Returning,Bronze
C0056,2020-09-13,26-35,Male,Liverpool,New,Bronze
C0057,2024-02-21,18-25,Female,Leeds,New,Silver
C0058,2022-03-24,46-55,Female,Nottingham,New,Bronze
C0059,2021-06-12,56-65,Male,Newcastle,New,Bronze
C0060,2022-11-06,36-45,Male,Leeds,New,Gold
C0061,2022-11-12,36-45,Male,Southampton,Returning,Bronze
C0062,2023-04-30,36-45,Female,Liverpool,New,Bronze
C0063,2020-08-15,18-25,Female,Leeds,Returning,Bronze
C0064,2023-11-20,26-35,Male,London,New,Silver
C0065,2023-04-19,36-45,Male,Leeds,Returning,Gold
C0066,2022-11-10,26-35,Male,Birmingham,New,Bronze
C0067,2020-02-20,36-45,Male,Newcastle,New,Bronze
C0068,2021-08-10,26-35,Male,Leeds,New,Gold
C0069,2020-09-30,26-35,Male,Manchester,Returning,Bronze
C0070,2023-02-03,18-25,Male,Edinburgh,Returning,Bronze
C0071,2020-02-09,18-25,Female,Cardiff,New,Bronze
C0072,2022-12-29,36-45,Male,Leeds,New,Bronze
C0073,2021-12-12,36-45,Female,Manchester,New,Bronze
C0074,2023-06-14,18-25,Female,Liverpool,New,Bronze
C0075,2024-04-05,36-45,Female,London,New,Silver
C0076,2020-07-04,26-35,Male,Leeds,New,Gold
C0077,2022-06-12,36-45,Male,Birmingham,New,Silver
C0078,2024-03-17,18-25,Male,Bristol,Returning,Silver
C0079,2021-12-26,46-55,Male,Liverpool,New,Bronze
C0080,2024-02-12,36-45,Male,Belfast,New,Silver
C0081,2021-07-05,46-55,Male,Manchester,New,Bronze
C0082,2021-04-22,26-35,Female,London,Returning,Silver
C0083,2023-10-13,46-55,Female,Nottingham,New,Gold
C0084,2023-03-22,65+,Female,Cardiff,Returning,Silver
C0085,2023-12-04,56-65,Female,Cardiff,New,Silver
C0086,2020-05-17,46-55,Female,London,Returning,Bronze
C0087,2020-02-01,46-55,Female,Bristol,Returning,Silver
C0088,2021-02-22,65+,Female,Liverpool,Returning,Bronze
C0089,2023-11-18,26-35,Male,Southampton,New,Silver
C0090,2021-08-23,36-45,Female,Liverpool,New,Silver
C0091,2020-03-06,46-55,Female,Belfast,New,Bronze
C0092,2022-03-07,26-35,Male,Edinburgh,Returning,Bronze
C0093,2022-12-29,56-65,Male,London,Returning,Bronze
C0094,2022-04-24,26-35,Male,Glasgow,New,Silver
C0095,2023-09-11,18-25,Female,Leicester,New,Silver
C0096,2023-07-30,36-45,Female,Belfast,New,Gold
C0097,2020-01-02,18-25,Female,Sheffield,New,Silver
C0098,2020-12-03,46-55,Female,Leicester,Returning,Gold
C0099,2020-07-13,26-35,Female,Liverpool,New,Bronze
C0100,2024-05-04,56-65,Female,Birmingham,Returning,Bronze
C0101,2023-01-08,36-45,Male,Southampton,Returning,Silver
C0102,2020-10-02,18-25,Male,Southampton,New,Bronze
C0103,2020-09-14,18-25,Female,Edinburgh,New,Bronze
C0104,2023-09-07,36-45,Female,Cardiff,Returning,Silver
C0105,2020-01-27,26-35,Female,Leeds,New,Bronze
C0106,2023-03-18,26-35,Female,Southampton,Returning,Bronze
C0107,2020-08-16,18-25,Male,Nottingham,New,Silver
C0108,2023-06-09,26-35,Female,Nottingham,Returning,Silver
C0109,2020-03-31,56-65,Male,Nottingham,Returning,Bronze
C0110,2022-09-28,18-25,Female,Glasgow,Returning,Bronze
C0111,2022-03-26,18-25,Female,Newcastle,New,Silver
C0112,2024-01-08,46-55,Female,Leicester,New,Bronze
C0113,2020-04-12,36-45,Female,Liverpool,Returning,Silver
C0114,2022-11-06,18-25,Male,Birmingham,Returning,Silver
C0115,2023-07-10,46-55,Female,Glasgow,New,Bronze
C0116,2022-12-18,26-35,Male,Birmingham,New,Silver
C0117,2020-03-14,56-65,Male,Nottingham,Returning,Gold
C0118,2021-05-24,36-45,Male,Southampton,New,Silver
C0119,2023-07-25,18-25,Female,Leeds,Returning,Silver
C0120,2020-07-18,36-45,Male,Southampton,Returning,Bronze
C0121,2021-03-23,46-55,Female,Southampton,New,Silver
C0122,2023-03-02,46-55,Male,Birmingham,New,Bronze
C0123,2021-12-31,18-25,Female,Southampton,New,Bronze
C0124,2020-08-31,18-25,Female,Manchester,New,Bronze
C0125,2020-06-26,18-25,Female,Manchester,Returning,Bronze
C0126,2024-05-30,36-45,Male,Belfast,Returning,Bronze
C0127,2023-04-18,26-35,Female,Nottingham,New,Gold
C0128,2022-08-09,46-55,Non-binary,Cardiff,Returning,Bronze
C0129,2021-03-30,18-25,Female,London,Returning,Silver
C0130,2022-06-23,18-25,Female,Birmingham,New,Silver
C0131,2023-04-24,36-45,Male,Southampton,New,Silver
C0132,2023-02-18,26-35,Female,Birmingham,Returning,Bronze
C0133,2021-01-27,36-45,Male,Glasgow,New,Silver
C0134,2022-11-15,36-45,Male,Liverpool,Returning,Gold
C0135,2024-05-25,26-35,Male,Liverpool,Returning,Silver
C0136,2021-01-06,65+,Male,London,New,Silver
C0137,2021-06-02,26-35,Male,Leeds,Returning,Silver
C0138,2023-04-15,36-45,Female,Edinburgh,Returning,Silver
C0139,2023-09-04,26-35,Male,Birmingham,New,Bronze
C0140,2020-07-11,46-55,Female,Liverpool,Returning,Bronze
C0141,2021-02-26,56-65,Female,Glasgow,Returning,Bronze
C0142,2023-11-13,26-35,Male,Leeds,Returning,Bronze
C0143,2020-03-05,18-25,Female,Sheffield,New,Bronze
C0144,2022-12-21,46-55,Male,Leeds,New,Bronze
C0145,2023-10-29,36-45,Female,Manchester,New,Bronze
C0146,2023-11-02,56-65,Male,Glasgow,New,Bronze
C0147,2022-08-01,26-35,Male,Manchester,New,Silver
C0148,2023-08-25,56-65,Female,Liverpool,Returning,Silver
C0149,2020-03-28,26-35,Male,Glasgow,Returning,Bronze
C0150,2021-05-07,46-55,Female,Cardiff,New,Bronze
C0151,2024-06-08,26-35,Male,Liverpool,New,Bronze
C0152,2022-10-06,26-35,Male,Edinburgh,New,Bronze
C0153,2024-05-24,36-45,Male,Southampton,Returning,Silver
C0154,2024-05-18,46-55,Male,Leeds,Returning,Silver
C0155,2021-03-02,46-55,Female,Birmingham,New,Bronze
C0156,2022-12-03,26-35,Female,Bristol,Returning,Bronze
C0157,2024-04-02,46-55,Male,Belfast,New,Bronze
C0158,2020-11-21,18-25,Female,Nottingham,New,Silver
C0159,2023-02-20,36-45,Male,Southampton,New,Silver
C0160,2021-11-29,46-55,Male,Sheffield,New,Bronze
C0161,2022-11-22,26-35,Female,Leeds,Returning,Bronze
C0162,2020-10-15,46-55,Male,Liverpool,New,Bronze
C0163,2022-04-24,36-45,Female,Birmingham,New,Silver
C0164,2024-04-22,18-25,Non-binary,Glasgow,New,Bronze
C0165,2022-01-25,26-35,Male,Nottingham,New,Bronze
C0166,2021-09-23,36-45,Female,Glasgow,Returning,Silver
C0167,2022-09-27,36-45,Male,Birmingham,Returning,Silver
C0168,2022-04-01,46-55,Male,Manchester,New,Bronze
C0169,2023-05-22,18-25,Female,Liverpool,New,Gold
C0170,2020-05-13,36-45,Female,Leeds,Returning,Bronze
C0171,2024-04-04,26-35,Female,Birmingham,New,Bronze
C0172,2020-09-06,26-35,Male,London,Returning,Bronze
C0173,2021-09-04,26-35,Female,Leicester,New,Bronze
C0174,2024-04-18,26-35,Female,Bristol,New,Gold
C0175,2021-09-11,36-45,Female,Leeds,New,Bronze
C0176,2020-02-23,36-45,Female,Manchester,New,Bronze
C0177,2021-08-26,18-25,Female,Belfast,Returning,Bronze
C0178,2022-04-13,36-45,Female,Southampton,Returning,Gold
C0179,2021-12-18,65+,Male,Glasgow,New,Bronze
C0180,2020-09-21,26-35,Male,Leeds,Returning,Bronze
C0181,2022-09-11,46-55,Male,Newcastle,New,Bronze
C0182,2020-09-17,26-35,Male,Manchester,New,Bronze
C0183,2022-11-25,46-55,Female,Birmingham,New,Bronze
C0184,2021-02-18,46-55,Female,Nottingham,New,Silver
C0185,2021-02-24,36-45,Male,Nottingham,New,Gold
C0186,2024-02-12,65+,Female,Glasgow,New,Bronze
C0187,2024-03-09,18-25,Female,Cardiff,Returning,Bronze
C0188,2023-05-22,26-35,Male,Belfast,Returning,Bronze
C0189,2020-03-28,36-45,Male,Southampton,Returning,Bronze
C0190,2022-03-09,46-55,Male,Birmingham,New,Silver
C0191,2024-02-19,46-55,Non-binary,Liverpool,New,Bronze
C0192,2022-11-23,36-45,Female,Leeds,Returning,Bronze
C0193,2023-05-14,36-45,Male,Sheffield,New,Silver
C0194,2021-11-27,36-45,Non-binary,London,Returning,Bronze
C0195,2024-04-06,65+,Male,London,New,Silver
C0196,2021-01-26,26-35,Male,Southampton,Returning,Bronze
C0197,2020-01-19,36-45,Male,Glasgow,Returning,Silver
C0198,2024-03-16,18-25,Female,Glasgow,Returning,Silver
C0199,2022-12-02,26-35,Male,Leeds,Returning,Bronze
C0200,2021-01-15,36-45,Female,Leicester,New,Gold
C0201,2020-06-11,26-35,Female,Newcastle,Returning,Silver
C0202,2023-01-25,18-25,Male,Southampton,New,Bronze
C0203,2023-12-02,36-45,Female,Sheffield,Returning,Gold
C0204,2023-01-29,26-35,Female,Leeds,New,Silver
C0205,2023-07-31,18-25,Female,Newcastle,New,Silver
C0206,2022-09-07,26-35,Female,Cardiff,Returning,Silver
C0207,2023-01-19,36-45,Female,Leeds,Returning,Bronze
C0208,2021-11-03,36-45,Female,Belfast,Returning,Bronze
C0209,2023-10-27,36-45,Male,Nottingham,New,Bronze
C0210,2022-12-01,26-35,Female,Belfast,New,Bronze
C0211,2021-08-20,36-45,Female,Edinburgh,Returning,Bronze
C0212,2021-07-15,46-55,Female,Belfast,Returning,Gold
C0213,2023-04-02,46-55,Male,Manchester,New,Bronze
C0214,2020-07-13,46-55,Female,Glasgow,Returning,Bronze
C0215,2023-07-12,36-45,Male,Sheffield,New,Gold
C0216,2023-03-12,36-45,Female,Glasgow,Returning,Bronze
C0217,2024-04-03,36-45,Male,Bristol,New,Bronze
C0218,2022-04-04,18-25,Female,Edinburgh,New,Bronze
C0219,2021-06-27,36-45,Female,Leeds,New,Bronze
C0220,2023-03-15,26-35,Female,Birmingham,New,Bronze
C0221,2023-02-18,56-65,Female,Liverpool,Returning,Gold
C0222,2020-08-02,18-25,Non-binary,Sheffield,Returning,Silver
C0223,2022-07-08,26-35,Female,Birmingham,New,Gold
C0224,2021-01-15,26-35,Male,Liverpool,New,Gold
C0225,2022-04-04,18-25,Non-binary,Belfast,Returning,Gold
C0226,2024-04-11,36-45,Female,Liverpool,New,Bronze
C0227,2022-09-28,36-45,Female,Belfast,New,Silver
C0228,2020-06-19,36-45,Female,Southampton,Returning,Bronze
C0229,2023-03-28,18-25,Female,London,New,Bronze
C0230,2020-06-09,65+,Male,Belfast,New,Bronze
C0231,2023-04-21,26-35,Male,London,New,Silver
C0232,2022-07-16,36-45,Female,Edinburgh,New,Gold
C0233,2020-11-29,46-55,Female,Belfast,Returning,Bronze
C0234,2023-12-17,18-25,Male,Edinburgh,New,Gold
C0235,2022-10-05,56-65,Male,Bristol,New,Bronze
C0236,2022-01-23,36-45,Male,Leeds,New,Gold
C0237,2023-10-15,26-35,Female,Manchester,New,Bronze
C0238,2022-04-06,26-35,Female,Leicester,New,Silver
C0239,2023-09-26,26-35,Female,Edinburgh,Returning,Bronze
C0240,2022-12-04,46-55,Female,Belfast,Returning,Bronze
C0241,2022-02-10,26-35,Male,Bristol,Returning,Bronze
C0242,2023-11-16,26-35,Male,Southampton,Returning,Silver
C0243,2024-04-05,18-25,Male,Leeds,New,Silver
C0244,2022-05-04,46-55,Male,Newcastle,Returning,Bronze
C0245,2022-11-13,26-35,Female,Birmingham,Returning,Gold
C0246,2020-05-31,36-45,Female,Sheffield,Returning,Bronze
C0247,2021-07-20,26-35,Female,Nottingham,New,Gold
C0248,2021-01-18,26-35,Female,Glasgow,New,Silver
C0249,2020-03-02,36-45,Male,Birmingham,New,Bronze
C0250,2023-08-23,65+,Female,Newcastle,Returning,Silver
C0251,2024-03-22,36-45,Female,Cardiff,Returning,Silver
C0252,2021-02-13,56-65,Female,Glasgow,New,Silver
C0253,2024-01-22,46-55,Male,Manchester,New,Gold
C0254,2020-05-12,26-35,Male,Edinburgh,New,Bronze
C0255,2024-01-01,46-55,Female,Glasgow,Returning,Silver
C0256,2021-03-15,36-45,Male,Newcastle,New,Silver
C0257,2022-10-09,18-25,Female,Birmingham,Returning,Gold
C0258,2023-02-22,46-55,Male,Leicester,New,Silver
C0259,2021-11-17,18-25,Female,Nottingham,New,Bronze
C0260,2020-04-09,18-25,Female,Liverpool,New,Bronze
C0261,2023-12-10,65+,Female,London,Returning,Bronze
C0262,2024-04-15,26-35,Female,London,New,Silver
C0263,2022-06-15,26-35,Female,Leeds,New,Bronze
C0264,2020-02-13,56-65,Male,Nottingham,Returning,Bronze
C0265,2022-09-23,26-35,Male,Cardiff,Returning,Bronze
C0266,2023-04-15,46-55,Male,Birmingham,New,Silver
C0267,2021-12-08,18-25,Female,Bristol,New,Silver
C0268,2020-07-13,26-35,Female,Southampton,New,Gold
C0269,2022-02-26,65+,Female,Leeds,New,Bronze
C0270,2022-06-04,26-35,Non-binary,Leicester,Returning,Gold
C0271,2021-06-06,46-55,Female,Sheffield,New,Silver
C0272,2023-07-16,46-55,Male,Newcastle,New,Bronze
C0273,2023-01-16,65+,Female,Newcastle,Returning,Silver
C0274,2023-08-13,18-25,Female,Leeds,New,Bronze
C0275,2020-05-14,46-55,Non-binary,Nottingham,New,Bronze
C0276,2020-02-10,36-45,Female,Manchester,New,Silver
C0277,2024-03-23,65+,Male,Leicester,Returning,Silver
C0278,2021-05-26,26-35,Female,London,New,Bronze
C0279,2021-09-07,56-65,Female,Bristol,New,Silver
C0280,2020-05-24,26-35,Female,Leicester,New,Silver
C0281,2022-04-17,46-55,Female,Southampton,New,Silver
C0282,2024-06-18,46-55,Female,Leicester,New,Silver
C0283,2021-05-30,18-25,Male,Belfast,New,Silver
C0284,2021-08-25,46-55,Female,Sheffield,Returning,Gold
C0285,2022-07-29,36-45,Male,Nottingham,New,Silver
C0286,2024-04-01,36-45,Male,Belfast,New,Bronze
C0287,2023-12-23,36-45,Female,Nottingham,Returning,Silver
C0288,2021-11-27,46-55,Male,Liverpool,New,Silver
C0289,2022-05-27,36-45,Female,London,New,Bronze
C0290,2024-06-27,36-45,Male,Belfast,New,Gold
C0291,2020-10-13,56-65,Female,Cardiff,New,Gold
C0292,2020-11-16,65+,Female,Liverpool,New,Silver
C0293,2023-10-07,26-35,Male,Liverpool,Returning,Bronze
C0294,2022-05-17,56-65,Male,Nottingham,Returning,Gold
C0295,2021-08-29,65+,Female,Leicester,Returning,Bronze
C0296,2024-06-05,36-45,Female,Glasgow,New,Bronze
C0297,2020-07-29,26-35,Male,Nottingham,New,Bronze
C0298,2023-05-04,26-35,Male,Manchester,New,Bronze
C0299,2023-06-16,18-25,Male,Manchester,New,Bronze
C0300,2023-10-25,65+,Prefer not to say,Newcastle,Returning,Bronze
C0301,2020-12-10,18-25,Male,Leicester,New,Bronze
C0302,2020-07-05,36-45,Female,Leicester,Returning,Gold
C0303,2023-09-06,36-45,Male,London,New,Bronze
C0304,2023-09-16,36-45,Male,Cardiff,New,Silver
C0305,2024-05-26,26-35,Male,Belfast,New,Bronze
C0306,2023-01-12,26-35,Female,Cardiff,Returning,Gold
C0307,2021-04-22,18-25,Female,Belfast,Returning,Bronze
C0308,2024-03-12,65+,Male,Newcastle,Returning,Gold
C0309,2021-02-22,46-55,Male,Glasgow,Returning,Silver
C0310,2021-08-27,36-45,Female,Nottingham,Returning,Silver
C0311,2021-10-19,46-55,Male,Edinburgh,New,Bronze
C0312,2022-01-19,36-45,Female,Sheffield,Returning,Bronze
C0313,2020-04-26,26-35,Male,Nottingham,New,Gold
C0314,2022-01-29,36-45,Male,Manchester,New,Gold
C0315,2021-10-08,26-35,Non-binary,Belfast,New,Bronze
C0316,2020-08-16,46-55,Female,Cardiff,New,Bronze
C0317,2023-06-08,56-65,Female,London,Returning,Gold
C0318,2020-03-21,26-35,Female,Leeds,New,Bronze
C0319,2020-02-04,26-35,Male,Edinburgh,New,Gold
C0320,2023-07-04,65+,Female,Leeds,New,Silver
C0321,2022-09-27,46-55,Male,Southampton,New,Bronze
C0322,2020-04-03,18-25,Male,Leeds,Returning,Bronze
C0323,2020-05-09,26-35,Female,Southampton,Returning,Silver
C0324,2022-02-04,18-25,Female,Manchester,New,Silver
C0325,2023-09-15,46-55,Male,Newcastle,New,Bronze
C0326,2022-06-24,26-35,Female,London,Returning,Silver
C0327,2021-07-31,56-65,Male,Southampton,Returning,Bronze
C0328,2022-08-03,26-35,Male,Bristol,Returning,Gold
C0329,2020-12-16,36-45,Prefer not to say,Birmingham,New,Silver
C0330,2022-05-27,26-35,Female,Liverpool,New,Bronze
C0331,2022-10-06,26-35,Male,Manchester,Returning,Silver
C0332,2021-10-20,46-55,Male,Manchester,New,Bronze
C0333,2024-05-20,26-35,Female,Nottingham,New,Bronze
C0334,2020-03-21,26-35,Male,Liverpool,New,Silver
C0335,2023-01-28,46-55,Female,Glasgow,Returning,Bronze
C0336,2021-04-19,46-55,Female,Leeds,New,Bronze
C0337,2023-12-18,26-35,Male,Leeds,New,Bronze
C0338,2021-11-29,26-35,Female,Sheffield,Returning,Gold
C0339,2023-07-11,56-65,Male,London,New,Bronze
C0340,2021-11-20,56-65,Male,Bristol,New,Bronze
C0341,2024-05-05,36-45,Male,Leicester,New,Gold
C0342,2023-09-12,36-45,Male,Leicester,New,Silver
C0343,2023-04-28,26-35,Female,Newcastle,Returning,Silver
C0344,2021-08-10,26-35,Prefer not to say,Glasgow,Returning,Silver
C0345,2023-04-26,26-35,Male,Southampton,Returning,Bronze
C0346,2020-08-27,46-55,Prefer not to say,London,New,Bronze
C0347,2024-03-23,36-45,Female,Nottingham,Returning,Bronze
C0348,2020-05-12,36-45,Female,Manchester,Returning,Bronze
C0349,2022-06-10,18-25,Male,Leicester,Returning,Bronze
C0350,2021-03-08,26-35,Female,Glasgow,Returning,Bronze
C0351,2024-01-17,26-35,Female,Glasgow,New,Bronze
C0352,2020-11-27,26-35,Male,Belfast,Returning,Bronze
C0353,2021-01-26,26-35,Male,Southampton,New,Silver
C0354,2021-01-14,26-35,Prefer not to say,Liverpool,New,Bronze
C0355,2023-11-30,56-65,Female,Belfast,New,Bronze
C0356,2023-01-01,56-65,Female,Edinburgh,New,Bronze
C0357,2020-02-24,46-55,Male,London,New,Silver
C0358,2023-10-14,18-25,Female,Manchester,Returning,Bronze
C0359,2024-06-06,46-55,Male,Southampton,Returning,Bronze
C0360,2023-01-01,56-65,Male,Sheffield,Returning,Silver
C0361,2022-06-16,26-35,Male,Belfast,New,Silver
C0362,2023-02-01,36-45,Female,Leicester,New,Silver
C0363,2021-10-24,46-55,Non-binary,Edinburgh,Returning,Silver
C0364,2023-04-28,46-55,Female,Cardiff,New,Bronze
C0365,2020-05-26,46-55,Female,Newcastle,Returning,Silver
C0366,2020-11-24,56-65,Female,London,Returning,Silver
C0367,2024-04-28,46-55,Male,Liverpool,Returning,Bronze
C0368,2020-10-21,26-35,Male,Cardiff,Returning,Bronze
C0369,2022-10-06,46-55,Non-binary,Nottingham,New,Bronze
C0370,2020-09-14,36-45,Female,Leicester,Returning,Bronze
C0371,2021-10-01,46-55,Female,Belfast,New,Silver
C0372,2023-04-08,56-65,Female,Cardiff,Returning,Bronze
C0373,2021-07-12,36-45,Female,Leicester,New,Bronze
C0374,2023-07-25,26-35,Female,Liverpool,Returning,Silver
C0375,2021-01-26,26-35,Female,Edinburgh,Returning,Gold
C0376,2024-01-16,46-55,Female,Southampton,Returning,Bronze
C0377,2021-03-12,26-35,Female,Manchester,New,Silver
C0378,2020-01-17,18-25,Female,Nottingham,New,Silver
C0379,2021-05-20,46-55,Male,Glasgow,Returning,Silver
C0380,2020-09-25,65+,Male,Liverpool,Returning,Gold
C0381,2022-10-25,46-55,Female,Belfast,New,Silver
C0382,2020-04-10,65+,Male,Birmingham,New,Gold
C0383,2020-11-01,36-45,Female,Southampton,New,Bronze
C0384,2021-03-30,36-45,Female,Manchester,New,Silver
C0385,2021-11-11,36-45,Female,Cardiff,New,Gold
C0386,2023-11-22,36-45,Male,Edinburgh,New,Silver
C0387,2023-08-29,18-25,Female,Glasgow,New,Silver
C0388,2021-09-15,65+,Male,Manchester,New,Silver
C0389,2023-06-11,56-65,Male,London,New,Bronze
C0390,2020-07-04,18-25,Female,Leeds,Returning,Bronze
C0391,2020-06-24,18-25,Female,Glasgow,New,Bronze
C0392,2021-04-16,26-35,Female,Bristol,Returning,Silver
C0393,2020-12-21,46-55,Prefer not to say,Liverpool,Returning,Silver
C0394,2023-12-04,26-35,Male,Edinburgh,New,Bronze
C0395,2020-10-07,18-25,Male,Newcastle,New,Bronze
C0396,2021-02-21,56-65,Male,Sheffield,New,Bronze
C0397,2020-05-07,65+,Male,Liverpool,New,Silver
C0398,2023-01-20,18-25,Male,Edinburgh,New,Bronze
C0399,2023-09-27,36-45,Male,Sheffield,Returning,Bronze
C0400,2021-10-03,46-55,Female,Edinburgh,New,Bronze
C0401,2022-01-12,26-35,Male,Manchester,Returning,Bronze
C0402,2021-12-31,26-35,Male,Leicester,Returning,Silver
C0403,2023-09-02,46-55,Female,Glasgow,Returning,Bronze
C0404,2022-11-26,26-35,Male,Nottingham,New,Bronze
C0405,2021-03-20,36-45,Female,Liverpool,New,Bronze
C0406,2020-10-04,56-65,Female,Glasgow,New,Bronze
C0407,2020-01-30,26-35,Male,Belfast,Returning,Bronze
C0408,2022-06-25,36-45,Male,Leicester,Returning,Bronze
C0409,2022-10-14,26-35,Female,Sheffield,New,Bronze
C0410,2023-05-29,36-45,Male,Southampton,New,Bronze
C0411,2022-12-09,26-35,Male,Leicester,New,Gold
C0412,2021-12-12,26-35,Female,Leicester,New,Bronze
C0413,2020-07-08,26-35,Male,Newcastle,New,Bronze
C0414,2020-06-29,36-45,Female,Glasgow,New,Bronze
C0415,2020-07-19,46-55,Female,Cardiff,New,Silver
C0416,2020-12-08,36-45,Male,Sheffield,Returning,Bronze
C0417,2022-02-14,36-45,Male,Sheffield,New,Silver
C0418,2022-06-13,26-35,Male,Edinburgh,New,Silver
C0419,2021-12-29,36-45,Male,Southampton,New,Bronze
C0420,2021-01-23,36-45,Female,Belfast,Returning,Silver
C0421,2020-01-03,18-25,Male,Leeds,New,Bronze
C0422,2022-03-28,26-35,Male,Leeds,New,Silver
C0423,2023-07-31,26-35,Female,Birmingham,New,Bronze
C0424,2023-02-16,26-35,Female,Nottingham,New,Silver
C0425,2023-02-25,26-35,Female,Sheffield,Returning,Silver
C0426,2021-02-08,46-55,Female,Edinburgh,New,Silver
C0427,2023-07-19,65+,Non-binary,Belfast,Returning,Silver
C0428,2020-04-13,26-35,Male,Birmingham,New,Silver
C0429,2022-06-17,18-25,Female,Newcastle,Returning,Bronze
C0430,2022-12-22,46-55,Male,Southampton,Returning,Bronze
C0431,2022-08-31,65+,Male,Leicester,Returning,Bronze
C0432,2020-01-11,18-25,Female,Manchester,New,Bronze
C0433,2022-12-25,26-35,Male,Manchester,Returning,Silver
C0434,2024-04-22,36-45,Male,Birmingham,Returning,Bronze
C0435,2020-01-10,36-45,Female,Cardiff,New,Silver
C0436,2022-07-02,26-35,Male,Nottingham,Returning,Bronze
C0437,2020-09-05,46-55,Female,Southampton,New,Gold
C0438,2023-03-22,26-35,Male,Liverpool,New,Silver
C0439,2021-07-24,46-55,Non-binary,Southampton,New,Gold
C0440,2022-10-08,46-55,Female,Newcastle,Returning,Bronze
C0441,2023-10-13,36-45,Male,Edinburgh,Returning,Bronze
C0442,2020-11-21,65+,Female,London,New,Gold
C0443,2021-09-09,46-55,Female,Manchester,Returning,Bronze
C0444,2023-05-24,46-55,Male,Sheffield,New,Bronze
C0445,2020-08-07,26-35,Male,Sheffield,New,Gold
C0446,2021-08-18,18-25,Female,Manchester,Returning,Gold
C0447,2021-09-29,36-45,Male,Belfast,Returning,Bronze
C0448,2023-01-18,26-35,Male,Newcastle,New,Bronze
C0449,2023-08-20,26-35,Female,Birmingham,New,Gold
C0450,2024-02-02,46-55,Male,Birmingham,New,Bronze
C0451,2022-05-30,36-45,Female,Leicester,Returning,Silver
C0452,2021-05-22,26-35,Male,Bristol,Returning,Silver
