order_date,customer_id,product_id,product_category,revenue,quantity,region,customer_acquisition_channel
2023-06-01,C1761,P0086,Monitors,744.0,2,London,Paid
2023-02-10,C1466,P0031,Networking,3353.04,2,Scotland,Referral
2023-12-29,C2294,P0043,Accessories,2288.36,4,North West,Email
2023-08-31,C0666,P0099,Networking,329.6,2,North East,Organic
2023-12-07,C1687,P0074,Smartphones,1558.26,2,West Midlands,Organic
2023-04-21,C1567,P0060,Accessories,1081.77,1,South West,Organic
2024-04-16,C1433,P0030,Accessories,1776.15,3,Scotland,Organic
2023-07-17,C1633,P0082,Laptops,651.06,3,West Midlands,Social
2023-10-13,C1439,P0040,Smartphones,5540.0,4,Wales,Email
2023-04-29,C1070,P0048,Networking,1889.52,2,West Midlands,Organic
2024-03-20,C1416,P0008,Monitors,3671.82,3,North East,Referral
2024-06-07,C0474,P0036,Networking,1534.88,4,Scotland,Organic
2024-03-22,C0007,P0014,Smartphones,2822.74,2,Wales,Paid
2023-12-05,C2553,P0072,Tablets,5073.78,3,South East,Social
2023-11-04,C2078,P0065,Networking,2140.02,3,North East,Paid
2023-10-30,C2271,P0088,Accessories,3861.02,2,Scotland,Paid
2024-01-24,C2775,P0053,Accessories,1511.78,2,West Midlands,Paid
2023-01-01,C1245,P0026,Networking,556.89,3,Scotland,Paid
2023-11-26,C1905,P0065,Networking,2853.36,4,South West,Referral
2024-06-07,C1939,P0085,Smartphones,2673.02,2,South East,Organic
2023-12-10,C0383,P0090,Networking,884.48,2,West Midlands,Organic
2023-07-23,C0604,P0053,Accessories,755.89,1,London,Organic
2024-05-01,C2504,P0007,Laptops,476.34,1,South West,Paid
2023-07-19,C2943,P0088,Accessories,7722.04,4,South West,Paid
2023-06-01,C2688,P0020,Laptops,1472.98,1,South East,Social
2023-08-13,C0721,P0090,Networking,1768.96,4,London,Referral
2023-05-05,C1870,P0023,Tablets,3334.68,2,South West,Referral
2023-11-21,C1813,P0071,Laptops,6990.04,4,South West,Social
2024-05-01,C1844,P0080,Tablets,1550.79,3,Scotland,Social
2023-10-11,C2136,P0049,Tablets,1289.12,4,Scotland,Organic
2023-03-21,C2923,P0030,Accessories,1776.15,3,Scotland,Organic
2023-11-24,C2213,P0040,Smartphones,1385.0,1,North West,Organic
2024-01-28,C2843,P0013,Laptops,3059.34,2,Scotland,Organic
2024-02-22,C1356,P0032,Smartphones,3087.4,4,North East,Organic
2024-03-06,C1596,P0075,Smartphones,1101.79,1,North East,Paid
2023-12-27,C1224,P0015,Tablets,2367.4,4,North East,Paid
2023-08-14,C2000,P0046,Tablets,929.24,2,West Midlands,Paid
2023-01-30,C1593,P0075,Smartphones,3305.37,3,North East,Social
2024-04-23,C0523,P0067,Accessories,56.33,1,North East,Referral
2023-01-28,C0344,P0039,Networking,5567.68,4,North West,Social
2023-07-06,C0206,P0016,Smartphones,5749.71,3,North East,Paid
2024-04-10,C1339,P0043,Accessories,1716.27,3,North East,Organic
2024-03-07,C1034,P0021,Monitors,293.41,1,South West,Organic
2023-02-23,C1434,P0100,Laptops,3631.14,2,South East,Social
2023-02-11,C0128,P0008,Monitors,2447.88,2,Scotland,Social
2023-06-06,C0978,P0075,Smartphones,2203.58,2,South West,Referral
2023-08-12,C1905,P0044,Smartphones,5491.86,3,Wales,Organic
2023-04-28,C0671,P0067,Accessories,168.99,3,South East,Referral
2023-11-16,C2359,P0049,Tablets,1289.12,4,North East,Email
2023-07-23,C0312,P0008,Monitors,2447.88,2,South East,Referral
2023-11-05,C2803,P0034,Networking,1876.48,1,London,Paid
2024-03-14,C2710,P0004,Laptops,4108.68,3,South East,Paid
2023-12-16,C0052,P0032,Smartphones,3087.4,4,South West,Organic
2024-01-06,C2604,P0024,Monitors,7106.52,4,North West,Paid
2024-06-18,C2665,P0068,Networking,5273.73,3,South West,Paid
2023-10-02,C1321,P0080,Tablets,1033.86,2,South East,Organic
2024-04-06,C0999,P0036,Networking,1534.88,4,North East,Paid
2024-05-21,C1332,P0059,Accessories,1588.32,2,South West,Organic
2023-09-22,C1395,P0095,Smartphones,524.55,3,West Midlands,Referral
2024-06-13,C0783,P0021,Monitors,293.41,1,Scotland,Social
2024-05-15,C2275,P0003,Smartphones,644.2,2,South West,Referral
2024-05-17,C1836,P0035,Networking,189.23,1,South East,Organic
2024-02-19,C2834,P0016,Smartphones,3833.14,2,West Midlands,Referral
2024-01-13,C1939,P0073,Monitors,3712.47,3,North East,Email
2023-12-05,C1442,P0045,Monitors,7035.68,4,West Midlands,Paid
2023-08-25,C0495,P0067,Accessories,112.66,2,Wales,Organic
2023-07-09,C0785,P0051,Tablets,3013.36,2,South West,Organic
2024-06-21,C2445,P0045,Monitors,5276.76,3,South East,Social
2023-10-31,C0932,P0031,Networking,5029.56,3,North West,Paid
2024-06-30,C0519,P0056,Laptops,1044.12,3,London,Email
2023-10-27,C2857,P0012,Monitors,1184.94,2,South West,Organic
2023-01-13,C2352,P0099,Networking,494.4,3,South West,Paid
2023-12-15,C0756,P0035,Networking,189.23,1,West Midlands,Email
2024-05-04,C0468,P0008,Monitors,1223.94,1,North East,Paid
2023-02-24,C0622,P0100,Laptops,3631.14,2,West Midlands,Organic
2023-09-12,C0486,P0046,Tablets,1858.48,4,Scotland,Social
2024-01-25,C1846,P0035,Networking,756.92,4,West Midlands,Social
2024-03-15,C1251,P0028,Tablets,1971.18,1,South East,Email
2023-08-01,C2563,P0033,Smartphones,2713.68,2,West Midlands,Referral
2023-06-10,C0983,P0081,Smartphones,3524.24,2,South East,Organic
2024-02-23,C1846,P0053,Accessories,3023.56,4,West Midlands,Organic
2023-10-23,C2896,P0062,Laptops,4129.65,3,South West,Organic
2023-08-28,C1084,P0009,Monitors,875.46,2,North East,Organic
2023-08-19,C2653,P0019,Tablets,2454.54,2,West Midlands,Social
2023-03-15,C0245,P0044,Smartphones,3661.24,2,West Midlands,Referral
2023-10-23,C1799,P0044,Smartphones,1830.62,1,South West,Referral
2024-02-17,C1116,P0080,Tablets,2067.72,4,South West,Organic
2023-02-10,C1770,P0010,Networking,4252.74,3,West Midlands,Organic
2023-08-23,C2762,P0012,Monitors,592.47,1,West Midlands,Referral
2023-06-29,C1928,P0052,Accessories,7203.0,4,West Midlands,Organic
2024-03-22,C2601,P0075,Smartphones,4407.16,4,South East,Paid
2024-02-23,C1366,P0075,Smartphones,3305.37,3,South East,Social
2023-12-04,C1687,P0042,Laptops,6479.36,4,West Midlands,Referral
2024-02-15,C2254,P0018,Accessories,238.6,1,South West,Organic
2023-09-16,C1325,P0022,Accessories,203.66,1,North East,Social
2023-01-02,C2694,P0035,Networking,756.92,4,North East,Organic
2024-06-14,C1482,P0044,Smartphones,7322.48,4,South West,Social
2023-07-28,C1094,P0061,Monitors,3457.04,2,West Midlands,Paid
2024-05-11,C0498,P0022,Accessories,203.66,1,Scotland,Social
2023-11-15,C2257,P0038,Accessories,789.94,1,North East,Organic
2023-04-27,C1891,P0071,Laptops,1747.51,1,North West,Paid
2023-10-26,C2085,P0072,Tablets,5073.78,3,North East,Social
2024-04-28,C0999,P0078,Laptops,1072.56,4,North West,Paid
2024-06-04,C0560,P0095,Smartphones,174.85,1,West Midlands,Social
2024-02-29,C1393,P0042,Laptops,4859.52,3,London,Organic
2023-11-02,C2405,P0051,Tablets,6026.72,4,North West,Paid
2024-05-10,C1414,P0067,Accessories,168.99,3,North East,Paid
2023-11-26,C0773,P0075,Smartphones,2203.58,2,North East,Organic
2024-02-25,C0179,P0045,Monitors,5276.76,3,South West,Social
2024-01-26,C1582,P0044,Smartphones,3661.24,2,South West,Email
2023-05-10,C2058,P0094,Accessories,857.88,3,South East,Social
2024-03-26,C0409,P0005,Monitors,878.12,4,London,Social
2024-02-24,C2682,P0064,Monitors,3028.42,2,South East,Paid
2023-09-29,C1387,P0040,Smartphones,5540.0,4,South East,Social
2024-06-30,C1557,P0082,Laptops,651.06,3,South West,Social
2023-02-06,C2530,P0091,Tablets,828.03,1,Scotland,Referral
2023-10-22,C0932,P0051,Tablets,1506.68,1,North East,Email
2023-04-13,C1818,P0063,Laptops,2758.68,2,West Midlands,Email
2023-02-17,C1329,P0012,Monitors,592.47,1,West Midlands,Paid
2024-03-17,C0597,P0038,Accessories,1579.88,2,North East,Referral
2023-07-04,C0697,P0079,Tablets,3527.02,2,South East,Referral
2024-01-27,C2539,P0014,Smartphones,2822.74,2,South West,Email
2023-05-27,C0952,P0099,Networking,659.2,4,West Midlands,Paid
2023-01-10,C1906,P0024,Monitors,5329.89,3,North West,Organic
2023-12-20,C2407,P0069,Tablets,5835.54,3,North East,Referral
2024-04-12,C1238,P0062,Laptops,2753.1,2,North East,Social
2023-04-20,C0972,P0009,Monitors,1750.92,4,Wales,Referral
2023-10-30,C0090,P0002,Networking,2345.24,4,West Midlands,Organic
2023-02-20,C2484,P0006,Accessories,447.92,4,West Midlands,Social
2023-08-24,C2487,P0098,Laptops,565.32,3,Scotland,Referral
2023-09-14,C2777,P0056,Laptops,696.08,2,South East,Email
2023-02-10,C1266,P0061,Monitors,6914.08,4,London,Referral
2023-05-15,C0370,P0049,Tablets,966.84,3,Wales,Social
2023-06-29,C0823,P0020,Laptops,2945.96,2,Wales,Paid
2023-10-07,C0674,P0068,Networking,5273.73,3,South West,Email
2023-10-30,C1388,P0022,Accessories,203.66,1,South West,Email
2023-05-25,C0925,P0042,Laptops,6479.36,4,Wales,Organic
2024-02-09,C0058,P0016,Smartphones,5749.71,3,South East,Paid
2023-09-26,C2395,P0024,Monitors,7106.52,4,Wales,Organic
2023-08-28,C1932,P0095,Smartphones,174.85,1,Wales,Email
2023-08-15,C2653,P0029,Smartphones,1739.64,1,South West,Email
2023-11-06,C2660,P0091,Tablets,3312.12,4,South East,Organic
2023-02-08,C1247,P0013,Laptops,6118.68,4,South East,Organic
2023-05-19,C1592,P0073,Monitors,4949.96,4,Wales,Referral
2024-03-05,C2406,P0046,Tablets,929.24,2,North East,Referral
2024-05-16,C2522,P0051,Tablets,6026.72,4,West Midlands,Organic
2024-01-15,C0890,P0058,Accessories,4852.0,4,South West,Email
2024-01-07,C0407,P0023,Tablets,5002.02,3,Wales,Organic
2023-10-10,C0778,P0073,Monitors,1237.49,1,South West,Organic
2023-08-06,C2629,P0080,Tablets,516.93,1,London,Social
2023-09-07,C0516,P0002,Networking,1172.62,2,South East,Social
2023-08-01,C2402,P0013,Laptops,3059.34,2,Scotland,Paid
2023-06-01,C2442,P0094,Accessories,285.96,1,West Midlands,Social
2023-05-29,C0533,P0090,Networking,1326.72,3,North West,Organic
2023-01-27,C0540,P0058,Accessories,1213.0,1,Wales,Social
2023-09-01,C2412,P0083,Accessories,4923.75,3,London,Organic
2023-02-23,C0520,P0027,Networking,1977.6,4,South East,Social
2024-05-02,C1837,P0049,Tablets,966.84,3,South East,Paid
2023-08-15,C2520,P0024,Monitors,1776.63,1,West Midlands,Paid
2023-02-01,C0250,P0091,Tablets,3312.12,4,North East,Paid
2023-04-21,C2009,P0090,Networking,1768.96,4,South East,Social
2023-11-26,C2492,P0066,Tablets,1795.58,2,South East,Organic
2023-11-29,C1561,P0010,Networking,4252.74,3,South West,Paid
2024-03-16,C0407,P0076,Monitors,1841.06,1,Scotland,Paid
2023-08-22,C1695,P0077,Monitors,2046.3,3,South West,Paid
2023-04-08,C1281,P0072,Tablets,6765.04,4,Wales,Referral
2024-01-19,C0626,P0048,Networking,3779.04,4,South East,Organic
2023-03-29,C0382,P0016,Smartphones,7666.28,4,South East,Social
2024-01-17,C0533,P0058,Accessories,1213.0,1,Wales,Referral
2024-02-25,C1449,P0067,Accessories,225.32,4,London,Email
2023-11-16,C1441,P0069,Tablets,1945.18,1,Scotland,Organic
2024-05-08,C0919,P0005,Monitors,219.53,1,Wales,Social
2024-01-12,C0471,P0021,Monitors,880.23,3,Scotland,Social
2023-01-27,C2495,P0053,Accessories,2267.67,3,London,Organic
2023-11-13,C1392,P0015,Tablets,1775.55,3,London,Organic
2023-05-27,C2320,P0010,Networking,5670.32,4,South East,Organic
2023-02-01,C0376,P0068,Networking,3515.82,2,North East,Paid
2023-12-16,C0645,P0058,Accessories,3639.0,3,West Midlands,Social
2023-03-28,C0216,P0049,Tablets,644.56,2,North West,Social
2023-02-20,C2761,P0024,Monitors,1776.63,1,West Midlands,Paid
2024-03-10,C1990,P0073,Monitors,4949.96,4,North East,Organic
2024-06-08,C0467,P0079,Tablets,5290.53,3,North East,Organic
2024-05-13,C2159,P0054,Smartphones,3130.74,3,London,Organic
2023-02-26,C0032,P0022,Accessories,407.32,2,West Midlands,Email
2023-05-21,C1047,P0092,Networking,3951.78,3,Wales,Organic
2024-05-24,C1764,P0100,Laptops,3631.14,2,North West,Paid
2023-08-24,C2050,P0089,Monitors,4568.31,3,South East,Paid
2023-02-13,C1787,P0065,Networking,713.34,1,South West,Email
2023-11-17,C2359,P0007,Laptops,1905.36,4,North East,Social
2024-03-03,C1186,P0042,Laptops,1619.84,1,North East,Organic
2023-11-29,C0704,P0079,Tablets,7054.04,4,Wales,Organic
2023-04-19,C0997,P0026,Networking,742.52,4,North East,Paid
2024-02-10,C1271,P0043,Accessories,1716.27,3,Scotland,Paid
2023-06-22,C0313,P0015,Tablets,591.85,1,Scotland,Email
2023-12-24,C1439,P0095,Smartphones,349.7,2,Scotland,Organic
2023-09-20,C0809,P0029,Smartphones,3479.28,2,North West,Social
2023-03-19,C0726,P0043,Accessories,2288.36,4,South West,Social
2024-04-04,C2790,P0016,Smartphones,5749.71,3,Wales,Organic
2023-03-11,C1921,P0027,Networking,1977.6,4,West Midlands,Social
2023-02-27,C1442,P0094,Accessories,285.96,1,West Midlands,Paid
2023-02-08,C0234,P0072,Tablets,5073.78,3,West Midlands,Organic
2023-04-03,C2520,P0035,Networking,756.92,4,South West,Referral
2023-02-12,C1843,P0071,Laptops,3495.02,2,Wales,Referral
2024-05-28,C0618,P0087,Monitors,1751.24,1,South West,Organic
2023-12-18,C2926,P0049,Tablets,322.28,1,North West,Organic
2024-03-24,C1800,P0053,Accessories,1511.78,2,Wales,Paid
2023-10-17,C1587,P0020,Laptops,5891.92,4,Wales,Referral
2023-02-23,C2585,P0020,Laptops,4418.94,3,South East,Paid
2024-01-31,C1164,P0039,Networking,4175.76,3,North West,Paid
2023-05-25,C1433,P0067,Accessories,168.99,3,North East,Organic
2023-03-28,C1269,P0023,Tablets,6669.36,4,Wales,Social
2024-06-23,C0383,P0009,Monitors,1750.92,4,Wales,Organic
2023-11-13,C0739,P0041,Laptops,993.28,2,Wales,Email
2024-05-12,C0787,P0046,Tablets,929.24,2,North West,Organic
2023-10-30,C0415,P0036,Networking,383.72,1,Wales,Social
2023-05-15,C2447,P0029,Smartphones,6958.56,4,North West,Organic
2023-06-19,C2954,P0021,Monitors,1173.64,4,London,Paid
2023-09-01,C1820,P0054,Smartphones,3130.74,3,South West,Organic
2023-09-02,C1268,P0093,Accessories,7217.0,4,Scotland,Paid
2024-03-27,C1892,P0046,Tablets,1393.86,3,North East,Paid
2024-03-04,C0664,P0002,Networking,1172.62,2,North West,Social
2023-02-23,C2627,P0038,Accessories,3159.76,4,Wales,Referral
2023-04-16,C2914,P0058,Accessories,1213.0,1,West Midlands,Organic
2023-06-14,C1118,P0042,Laptops,6479.36,4,North West,Social
2023-04-04,C0910,P0033,Smartphones,5427.36,4,Wales,Email
2024-02-29,C0219,P0011,Accessories,1919.44,4,Wales,Organic
2023-03-25,C1536,P0086,Monitors,744.0,2,London,Paid
2023-04-12,C2928,P0016,Smartphones,5749.71,3,North West,Organic
2023-10-21,C1936,P0060,Accessories,2163.54,2,South West,Paid
2023-01-06,C0325,P0023,Tablets,1667.34,1,West Midlands,Organic
2023-06-03,C2248,P0014,Smartphones,5645.48,4,South East,Social
2023-09-01,C1234,P0026,Networking,185.63,1,London,Organic
2024-04-13,C0258,P0027,Networking,494.4,1,South West,Referral
2023-01-17,C2589,P0082,Laptops,434.04,2,North West,Organic
2023-01-02,C2519,P0007,Laptops,1429.02,3,Scotland,Referral
2023-07-11,C2722,P0082,Laptops,217.02,1,Wales,Organic
2024-06-22,C2229,P0044,Smartphones,1830.62,1,North East,Social
2023-02-14,C2604,P0047,Accessories,3285.92,4,Wales,Organic
2023-01-17,C1463,P0008,Monitors,1223.94,1,Wales,Organic
2023-04-17,C2384,P0030,Accessories,1776.15,3,North West,Organic
2023-12-13,C2633,P0001,Networking,534.2,2,South West,Email
2024-05-05,C2588,P0017,Tablets,498.62,2,North West,Organic
2024-04-13,C0152,P0029,Smartphones,5218.92,3,Scotland,Organic
2023-07-24,C0172,P0047,Accessories,2464.44,3,West Midlands,Paid
2024-04-29,C1038,P0090,Networking,442.24,1,Scotland,Organic
2023-02-18,C2686,P0083,Accessories,4923.75,3,West Midlands,Organic
2024-01-12,C1790,P0033,Smartphones,5427.36,4,South West,Social
2024-01-31,C1389,P0095,Smartphones,349.7,2,South West,Referral
2024-01-12,C2127,P0098,Laptops,565.32,3,South East,Social
2023-03-22,C1764,P0014,Smartphones,2822.74,2,West Midlands,Paid
2023-03-23,C1344,P0075,Smartphones,3305.37,3,West Midlands,Paid
2024-03-12,C0683,P0098,Laptops,753.76,4,Wales,Paid
2023-12-28,C2519,P0089,Monitors,6091.08,4,West Midlands,Referral
2023-02-28,C0308,P0061,Monitors,6914.08,4,Wales,Paid
2023-06-13,C0128,P0068,Networking,3515.82,2,South West,Organic
2023-03-10,C0967,P0014,Smartphones,4234.11,3,Wales,Paid
2023-02-03,C2479,P0010,Networking,2835.16,2,South West,Email
2024-01-16,C1819,P0025,Tablets,1175.84,1,North West,Paid
2024-02-12,C1288,P0066,Tablets,2693.37,3,Scotland,Email
2023-01-27,C0763,P0092,Networking,5269.04,4,North East,Email
2023-05-01,C1073,P0064,Monitors,4542.63,3,South West,Organic
2023-10-20,C2843,P0003,Smartphones,1288.4,4,Scotland,Organic
2023-03-17,C1852,P0040,Smartphones,2770.0,2,South West,Email
2023-11-24,C2736,P0009,Monitors,1313.19,3,South East,Paid
2023-10-25,C1229,P0003,Smartphones,644.2,2,North West,Social
2024-06-04,C0919,P0025,Tablets,1175.84,1,Scotland,Social
2023-08-31,C2024,P0066,Tablets,897.79,1,Wales,Referral
2024-01-13,C1915,P0055,Laptops,3047.56,2,South East,Organic
2024-02-12,C2937,P0052,Accessories,7203.0,4,North East,Social
2023-03-17,C0514,P0093,Accessories,5412.75,3,South East,Paid
2024-06-13,C1412,P0044,Smartphones,3661.24,2,North West,Social
2023-05-13,C1773,P0018,Accessories,238.6,1,South East,Paid
2023-11-08,C0675,P0080,Tablets,1033.86,2,Wales,Email
2023-08-19,C1418,P0072,Tablets,5073.78,3,South East,Organic
2023-10-09,C0513,P0020,Laptops,4418.94,3,South East,Paid
2023-06-22,C2425,P0095,Smartphones,349.7,2,North West,Referral
2023-12-12,C2309,P0057,Smartphones,1594.55,1,London,Organic
2023-09-29,C2668,P0018,Accessories,477.2,2,North East,Referral
2023-02-01,C2040,P0025,Tablets,3527.52,3,West Midlands,Paid
2024-02-20,C1219,P0099,Networking,659.2,4,South East,Referral
2023-06-11,C1801,P0090,Networking,1768.96,4,South West,Paid
2023-12-15,C2485,P0075,Smartphones,2203.58,2,Wales,Social
2023-11-23,C1415,P0043,Accessories,2288.36,4,North West,Social
2024-06-11,C2301,P0097,Smartphones,1197.46,1,Wales,Organic
2023-05-06,C1096,P0007,Laptops,1905.36,4,Scotland,Organic
2023-02-21,C1189,P0004,Laptops,5478.24,4,North East,Organic
2023-06-13,C1342,P0074,Smartphones,2337.39,3,Scotland,Social
2024-05-25,C2109,P0079,Tablets,7054.04,4,South West,Social
2024-05-24,C0095,P0022,Accessories,203.66,1,North East,Paid
2023-09-04,C0882,P0055,Laptops,4571.34,3,London,Organic
2024-05-21,C2448,P0051,Tablets,6026.72,4,West Midlands,Paid
2023-04-21,C1766,P0053,Accessories,1511.78,2,West Midlands,Social
2024-02-17,C1499,P0004,Laptops,1369.56,1,North East,Organic
2023-07-19,C1485,P0003,Smartphones,966.3,3,South East,Paid
2024-04-06,C2253,P0059,Accessories,2382.48,3,South East,Organic
2023-04-10,C1614,P0013,Laptops,4589.01,3,Wales,Referral
2024-01-10,C0591,P0093,Accessories,3608.5,2,North East,Paid
2023-02-16,C0160,P0035,Networking,378.46,2,Wales,Social
2024-06-15,C1872,P0020,Laptops,2945.96,2,North West,Paid
2023-11-23,C0666,P0046,Tablets,1858.48,4,West Midlands,Referral
2024-06-03,C2088,P0093,Accessories,7217.0,4,West Midlands,Paid
2023-01-18,C1509,P0054,Smartphones,3130.74,3,South East,Email
2023-11-12,C2971,P0018,Accessories,238.6,1,South West,Organic
2023-08-22,C2955,P0024,Monitors,1776.63,1,South West,Organic
2024-01-25,C0606,P0050,Networking,2289.34,2,London,Referral
2023-04-23,C0782,P0083,Accessories,1641.25,1,South West,Paid
2023-06-05,C1692,P0089,Monitors,3045.54,2,North East,Paid
2024-04-27,C2980,P0081,Smartphones,1762.12,1,North West,Paid
2023-11-29,C2713,P0032,Smartphones,3087.4,4,North East,Paid
2023-06-27,C1883,P0018,Accessories,715.8,3,Wales,Referral
2023-09-28,C2499,P0030,Accessories,2368.2,4,Scotland,Email
2023-10-13,C2286,P0001,Networking,801.3,3,Scotland,Email
2023-11-01,C1184,P0020,Laptops,2945.96,2,South West,Paid
2023-12-24,C2296,P0079,Tablets,5290.53,3,West Midlands,Organic
2024-01-24,C1617,P0046,Tablets,1393.86,3,North West,Organic
2023-10-22,C2926,P0059,Accessories,794.16,1,Wales,Email
2023-09-20,C1963,P0093,Accessories,3608.5,2,Scotland,Social
2023-10-05,C2303,P0087,Monitors,5253.72,3,North West,Organic
2023-09-03,C0994,P0009,Monitors,437.73,1,Scotland,Referral
2023-02-23,C0411,P0028,Tablets,7884.72,4,Wales,Social
2023-04-13,C2791,P0086,Monitors,744.0,2,London,Email
2023-06-11,C1667,P0002,Networking,2345.24,4,South West,Referral
2023-10-22,C1316,P0041,Laptops,1489.92,3,London,Email
2023-04-02,C2672,P0094,Accessories,571.92,2,London,Email
2023-06-29,C1712,P0063,Laptops,2758.68,2,London,Email
2024-02-11,C2030,P0033,Smartphones,2713.68,2,West Midlands,Social
2023-01-10,C1223,P0097,Smartphones,1197.46,1,Wales,Organic
2024-06-20,C2024,P0087,Monitors,3502.48,2,South West,Organic
2023-04-26,C1355,P0085,Smartphones,2673.02,2,South West,Referral
2023-07-10,C0058,P0057,Smartphones,4783.65,3,West Midlands,Referral
2023-07-17,C0719,P0017,Tablets,997.24,4,North East,Paid
2023-03-30,C1642,P0004,Laptops,1369.56,1,North West,Email
2024-05-03,C1326,P0074,Smartphones,1558.26,2,London,Organic
2023-08-30,C1830,P0073,Monitors,3712.47,3,Wales,Paid
2023-01-12,C1072,P0078,Laptops,804.42,3,Scotland,Organic
2023-05-02,C1907,P0009,Monitors,1313.19,3,North West,Paid
2024-05-29,C2882,P0070,Smartphones,3119.94,3,South East,Referral
2023-10-30,C1506,P0054,Smartphones,2087.16,2,Scotland,Email
2024-05-04,C0628,P0024,Monitors,7106.52,4,Wales,Paid
2024-04-27,C2202,P0059,Accessories,1588.32,2,Scotland,Referral
2023-03-25,C2153,P0008,Monitors,4895.76,4,Wales,Organic
2023-04-25,C0253,P0073,Monitors,2474.98,2,North West,Organic
2024-06-16,C1810,P0080,Tablets,516.93,1,Scotland,Social
2024-05-15,C0373,P0068,Networking,7031.64,4,London,Paid
2024-06-09,C1702,P0077,Monitors,2728.4,4,London,Referral
2023-11-12,C2963,P0061,Monitors,1728.52,1,North East,Organic
2023-01-04,C0893,P0033,Smartphones,1356.84,1,London,Paid
2023-03-07,C2217,P0090,Networking,442.24,1,South East,Email
2024-04-28,C0130,P0034,Networking,5629.44,3,North East,Organic
2023-05-19,C2628,P0081,Smartphones,7048.48,4,Wales,Email
2024-01-27,C1838,P0037,Networking,2109.52,4,North East,Organic
2023-05-17,C2677,P0067,Accessories,168.99,3,South East,Organic
2024-02-07,C2167,P0021,Monitors,586.82,2,Scotland,Social
2023-01-24,C1223,P0094,Accessories,1143.84,4,North East,Paid
2023-08-24,C1014,P0078,Laptops,1072.56,4,Wales,Organic
2023-07-13,C2970,P0037,Networking,527.38,1,London,Social
2024-03-05,C2519,P0055,Laptops,1523.78,1,Scotland,Organic
2023-04-14,C2433,P0049,Tablets,322.28,1,South West,Referral
2023-02-19,C1003,P0051,Tablets,1506.68,1,North East,Paid
2023-08-11,C0232,P0041,Laptops,993.28,2,West Midlands,Organic
2023-11-23,C2366,P0011,Accessories,1439.58,3,Scotland,Paid
2023-05-27,C2705,P0004,Laptops,2739.12,2,North East,Paid
2023-03-04,C2281,P0049,Tablets,644.56,2,North East,Referral
2023-02-18,C1411,P0083,Accessories,6565.0,4,Wales,Referral
2024-02-23,C0612,P0050,Networking,3434.01,3,North East,Organic
2024-04-29,C0988,P0064,Monitors,3028.42,2,West Midlands,Social
2023-05-28,C1897,P0100,Laptops,1815.57,1,North East,Email
2024-06-26,C0550,P0032,Smartphones,3087.4,4,Scotland,Organic
2023-12-05,C2649,P0003,Smartphones,322.1,1,South West,Social
2023-04-05,C2194,P0094,Accessories,571.92,2,London,Organic
2023-02-10,C0299,P0094,Accessories,571.92,2,Scotland,Paid
2023-12-07,C1242,P0049,Tablets,322.28,1,Scotland,Email
2023-05-01,C1962,P0073,Monitors,2474.98,2,Scotland,Paid
2023-09-03,C2262,P0081,Smartphones,5286.36,3,West Midlands,Paid
2024-06-30,C2658,P0098,Laptops,565.32,3,West Midlands,Organic
